"(6, 5, 14, -7.0)",{0: 0.19}
"(5, 5, 13, 1.0)","{0: 0.1, 1: 0.09}"
"(5, 5, 12, 0.0)","{0: 0.17099999999999999, 1: 0.1}"
"(5, 5, 12, -8.0)","{1: 0.21951, 0: 0.09}"
"(5, 5, 12, -7.0)",{1: 0.1}
"(4, 5, 12, -6.0)",{1: 0.1}
"(4, 5, 11, -5.0)",{0: 0.1}
"(4, 5, 11, 2.0)","{1: 0.19, 0: 0.1}"
"(4, 5, 10, 3.0)",{0: 0.1}
"(4, 5, 10, -8.0)","{0: 0.271, 1: 0.1}"
"(4, 5, 10, 0.0)","{1: 0.19, 0: 0.0}"
"(4, 5, 10, 1.0)",{1: 0.1}
"(4, 5, 10, 2.0)",{0: 0.1}
"(4, 5, 9, -8.0)","{1: 0.34390000000000004, 0: 0.1}"
"(3, 5, 9, -7.0)","{1: 0.1, 0: 0.0}"
"(3, 5, 9, -6.0)",{1: 0.1}
"(3, 5, 9, -5.0)",{1: 0.1}
"(3, 5, 8, -4.0)",{0: 0.19}
"(3, 5, 8, -8.0)","{0: 0.1, 1: 0.1}"
"(3, 5, 8, 0.0)",{1: 0.1}
"(3, 5, 8, 1.0)",{0: 0.1}
"(2, 5, 7, -8.0)","{0: 0.2439, 1: 0.1}"
"(2, 5, 7, 0.0)","{1: 0.1, 0: 0.0}"
"(2, 5, 7, 1.0)",{1: 0.1}
"(3, 5, 7, 2.0)",{0: 0.0}
"(2, 5, 6, 0.0)","{1: 0.1, 0: 0.1}"
"(2, 5, 6, 1.0)",{1: 0.1}
"(2, 5, 6, 2.0)",{1: 0.1}
"(2, 5, 6, 3.0)",{1: 0.1}
"(3, 5, 6, 4.0)",{1: 0.1}
"(3, 5, 5, 5.0)",{1: 0.1}
"(3, 5, 5, 6.0)",{0: 0.1}
"(3, 5, 5, -8.0)",{1: 0.1}
"(2, 5, 5, -8.0)","{0: 0.271, 1: 0.1}"
"(2, 5, 4, 0.0)",{0: 0.19}
"(2, 5, 4, -8.0)","{1: 0.19, 0: 0.09}"
"(1, 5, 3, -8.0)","{0: 0.1, 1: 0.1}"
"(1, 5, 3, 0.0)","{1: 0.1, 0: 0.0}"
"(1, 5, 3, 1.0)",{0: -0.5}
"(5, 1, 15, -7.0)",{0: 0.1}
"(4, 1, 14, -8.0)",{1: 0.271}
"(3, 1, 13, -8.0)",{1: 0.1}
"(3, 1, 12, -7.0)","{1: 0.1, 0: 0.1}"
"(3, 1, 12, -6.0)",{0: 0.1}
"(2, 1, 12, -8.0)",{1: 0.1}
"(2, 1, 11, -7.0)",{1: 0.19}
"(2, 1, 11, -6.0)","{1: 0.1, 0: 0.1}"
"(2, 1, 11, -5.0)",{1: 0.1}
"(2, 1, 11, -4.0)",{0: 0.1}
"(1, 1, 11, -8.0)",{0: 0.1}
"(1, 1, 10, 0.0)",{0: 0.19}
"(1, 1, 10, -8.0)","{1: 0.271, 0: 0.081}"
"(0, 1, 9, -8.0)","{0: 0.15389999999999998, 1: -0.4}"
"(0, 1, 9, 0.0)","{0: 0.0, 1: 0.1}"
"(0, 1, 9, 1.0)",{1: 0.1}
"(0, 1, 8, 2.0)",{1: 0.1}
"(0, 1, 8, 3.0)",{1: 0.1}
"(1, 1, 8, 4.0)",{0: 0.1}
"(0, 1, 8, -8.0)","{0: 0.0, 1: 0.1}"
"(0, 1, 6, 0.0)",{1: 0.271}
"(0, 1, 6, 1.0)","{1: 0.1, 0: 0.19}"
"(0, 1, 6, 2.0)",{1: 0.1}
"(0, 1, 6, 3.0)",{0: 0.0}
"(6, 1, 14, 1.0)","{1: 0.15561, 0: 0.19}"
"(5, 1, 13, -7.0)","{1: 0.32851, 0: 0.1}"
"(4, 1, 12, -5.0)","{0: 0.1, 1: 0.081}"
"(3, 1, 11, -7.0)","{1: 0.181, 0: 0.1}"
"(3, 1, 11, -6.0)",{0: 0.1}
"(3, 1, 10, 0.0)","{1: 0.081, 0: 0.34390000000000004}"
"(3, 1, 10, 1.0)",{0: 0.271}
"(2, 1, 10, 0.0)","{1: 0.34390000000000004, 0: 0.271}"
"(2, 1, 10, 1.0)",{1: 0.1}
"(2, 1, 9, -8.0)","{0: 0.5619604635190001, 1: 0.1629}"
"(1, 1, 8, -8.0)","{0: 0.717570463519, 1: 0.16561000000000003}"
"(1, 1, 8, 0.0)","{1: 0.5695327900000001, 0: 0.0}"
"(1, 1, 8, 1.0)","{1: 0.271, 0: 0.0729}"
"(2, 1, 8, 2.0)","{0: 0.0, 1: 0.1}"
"(1, 1, 7, -7.0)",{0: 0.0}
"(0, 1, 6, -7.0)","{1: 0.13851, 0: -0.134}"
"(0, 1, 6, -6.0)",{0: -0.15610000000000002}
"(6, 5, 13, 2.0)","{1: 0.1, 0: 0.1}"
"(6, 5, 13, 3.0)",{0: 0.1}
"(6, 5, 13, -8.0)","{0: 0.19, 1: 0.0}"
"(6, 5, 13, 0.0)",{1: 0.19}
"(6, 5, 12, 1.0)","{1: 0.1, 0: 0.0}"
"(6, 5, 12, 2.0)",{1: 0.1}
"(6, 5, 12, 3.0)",{1: 0.1}
"(6, 5, 12, 4.0)",{1: 0.1}
"(6, 5, 12, 5.0)",{1: 0.1}
"(6, 5, 11, 6.0)",{0: 0.1}
"(6, 5, 11, -8.0)","{0: 0.17099999999999999, 1: 0.0}"
"(6, 5, 11, 0.0)","{0: 0.0, 1: 0.1}"
"(6, 5, 10, 1.0)",{0: 0.1}
"(6, 5, 10, -8.0)",{0: 0.1}
"(6, 5, 10, 0.0)",{0: 0.1}
"(5, 5, 10, -8.0)","{0: 0.181, 1: 0.0}"
"(5, 5, 10, 0.0)",{1: 0.19}
"(5, 5, 9, 1.0)",{1: 0.1}
"(5, 5, 9, 2.0)",{1: 0.1}
"(5, 5, 9, 3.0)",{1: 0.1}
"(6, 5, 9, 4.0)",{1: 0.1}
"(6, 5, 9, 5.0)",{0: 0.1}
"(5, 5, 8, -8.0)","{1: 0.271, 0: 0.1}"
"(5, 5, 7, -7.0)",{1: 0.1}
"(4, 5, 7, -6.0)",{1: 0.1}
"(4, 5, 7, -5.0)",{1: 0.1}
"(4, 5, 7, -4.0)",{1: 0.1}
"(4, 5, 7, -3.0)",{0: 0.1}
"(4, 5, 6, -8.0)",{1: 0.19}
"(3, 5, 6, -7.0)",{0: 0.1}
"(3, 5, 6, -8.0)",{1: 0.19}
"(3, 5, 5, -7.0)",{0: 0.0}
"(2, 5, 5, 0.0)",{0: 0.0}
"(2, 5, 4, -7.0)",{0: 0.1}
"(1, 5, 4, -8.0)","{1: 0.1, 0: 0.1}"
"(1, 5, 4, -7.0)",{0: 0.1}
"(0, 5, 3, -8.0)","{0: -0.86, 1: -0.4}"
"(7, 2, 15, -8.0)","{1: 0.45956866501000004, 0: 0.5112725599000001}"
"(7, 2, 15, -16.0)","{1: 0.2629, 0: 0.1}"
"(6, 2, 15, -16.0)","{0: 0.09, 1: 0.19}"
"(6, 2, 15, -8.0)","{0: 0.42231561391000005, 1: 0.14904900000000004}"
"(6, 2, 15, 0.0)",{1: 0.0729}
"(6, 2, 15, 1.0)",{0: 0.34390000000000004}
